"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"109485/AL";"2020-05-05";"Oportocityview Santo Ildefonso 6";"S";"2020-04-09";"Apartamento";"1";"2";"0";;"Rua Rua Santo Ildefonso, 436 3 frente";"4000-466";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Lovely Resolution lda";"Outro";"515654655";"Pessoa coletiva";"Portugal";;;"916357207";"Não"
"109484/AL";"2020-05-05";"Oportocityview Santo Ildefonso 5";"S";"2020-04-09";"Apartamento";"4";"5";"2";;"Rua Rua Santo Ildefonso, 436 2 tras";"4000-466";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Lovely Resolution lda";"Outro";"515654655";"Pessoa coletiva";"Portugal";;;"916357207";"Não"
"109483/AL";"2020-05-05";"Oportocityview Santo Ildefonso 4";"S";"2020-04-09";"Apartamento";"1";"2";"0";;"Rua Rua Santo Ildefonso, 436 2 frente";"4000-466";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Lovely Resolution lda";"Outro";"515654655";"Pessoa coletiva";"Portugal";;;"916357207";"Não"
"109482/AL";"2020-05-05";"Oportocityview Santo Ildefonso 3";"S";"2020-04-09";"Apartamento";"4";"5";"2";;"Rua Rua Santo Ildefonso, 436 1 tras";"4000-466";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Lovely Resolution lda";"Outro";"515654655";"Pessoa coletiva";"Portugal";;;"916357207";"Não"
"109481/AL";"2020-05-05";"Oportocityview Santo Ildefonso 2";"S";"2020-04-09";"Apartamento";"1";"2";"0";;"Rua Rua Santo Ildefonso, 436 1 frente";"4000-466";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Lovely Resolution lda";"Outro";"515654655";"Pessoa coletiva";"Portugal";;;"916357207";"Não"
"109480/AL";"2020-05-05";"Oportocityview Santo Ildefonso 1";"S";"2020-04-09";"Apartamento";"2";"5";"2";;"Rua Rua Santo Ildefonso, 436 rc rc Porto";"4000-466";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Lovely Resolution lda";"Outro";"515654655";"Pessoa coletiva";"Portugal";;;"916357207";"Não"
"109479/AL";"2020-05-05";"José Miguel Silva Pereira";"S";"2020-03-16";"Apartamento";"4";"7";"3";;"Rua Rua Professor Mendes Correia, 273 Cave";"4200-399";"Porto";"Paranhos";"Porto";"Porto";"Norte";"Simetria Casual Unipessoal Lda";"Proprietário";"510651364";"Pessoa coletiva";"Portugal";;;"932951385";"Não"
"109447/AL";"2020-05-01";"Moreira Apartamentos";"S";"2020-06-01";"Apartamento";"6";"12";"5";;"Rua Rua Moreira, 284 3 Esquerdo";"4000-345";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Smile4Porto, Unipessoal Lda";"Arrendatário";"514708492";"Pessoa coletiva";"Portugal";;;"965742156";"Não"
"109433/AL";"2020-04-30";"Morar Apartments";"N";"2020-04-30";"Apartamento";"1";"2";"0";;"Rua Caldeireiros, 155 1 sul ";"4050-140";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Próxima Temporada Unipessoal, Lda.";"Proprietário";"515745294";"Pessoa coletiva";"Portugal";;;;"Não"
"109410/AL";"2020-04-25";"Uma Formosa Apartments";"N";"2020-04-19";"Apartamento";"1";"2";"1";;"Rua Rua Formosa, 165 3º Dir. Trás";"4000-251";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Uma Formosa, Lda";"Arrendatário";"515860123";"Pessoa coletiva";"Portugal";;;"966323683";"Não"
